target,text,num_characters,num_words,num_sentences,transformed_text
0,That means get the door,23,5,1,mean get door
0,"Hmmm ... I thought we said 2 hours slave, not 3 ... You are late ... How should I punish you ?",94,23,2,hmmm thought said 2 hour slave 3 late punish
0,Beerage?,8,2,1,beerag
1,You have an important customer service announcement from PREMIER. Call FREEPHONE 0800 542 0578 now!,99,17,2,import custom servic announc premier call freephon 0800 542 0578
0,Dont think so. It turns off like randomlly within 5min of opening,65,13,2,dont think turn like randomlli within 5min open
0,"She was supposed to be but couldn't make it, she's still in town though",71,17,1,suppos could make still town though
0,It does it on its own. Most of the time it fixes my spelling. But sometimes it gets a completely diff word. Go figure,117,27,4,time fix spell sometim get complet diff word go figur
1,Ever thought about living a good life with a perfect partner? Just txt back NAME and AGE to join the mobile community. (100p/SMS),129,27,3,ever thought live good life perfect partner txt back name age join mobil commun
1,"5 Free Top Polyphonic Tones call 087018728737, National Rate. Get a toppoly tune sent every week, just text SUBPOLY to 81618, å£3 per pole. UnSub 08718727870.",158,32,3,5 free top polyphon tone call 087018728737 nation rate get toppoli tune sent everi week text subpoli 81618 per pole unsub 08718727870
0,This is hoping you enjoyed your game yesterday. Sorry i've not been in touch but pls know that you are fondly bein thot off. Have a great week. Abiola,150,33,4,hope enjoy game yesterday sorri touch pl know fondli bein thot great week abiola
0,All e best 4 ur driving tmr :-),31,10,1,e best 4 ur drive tmr
0,Y?WHERE U AT DOGBREATH? ITS JUST SOUNDING LIKE JAN C THATåÕS AL!!!!!!!!!,72,24,3,u dogbreath sound like jan c thatåõ al
0,Omg I want to scream. I weighed myself and I lost more weight! Woohoo!,70,17,3,omg want scream weigh lost weight woohoo
0,There generally isn't one. It's an uncountable noun - u in the dictionary. pieces of research?,94,21,3,gener one uncount noun u dictionari piec research
0,it's really getting me down just hanging around.,48,10,1,realli get hang around
1,"Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9996. Offer ends 14thMarch. T&C's apply. Opt-out availa",160,35,5,orang custom may claim free camera phone upgrad loyalti call 0207 153 offer end 14thmarch c appli availa
0,"\Petey boy whereare you me and all your friendsare in theKingshead come down if you canlove Nic\""""",98,19,1,boy wherear friendsar thekingshead come canlov
0,Ok i msg u b4 i leave my house.,31,10,1,ok msg u b4 leav hous
0,"\Gimme a few\"" was  &lt;#&gt;  minutes ago""",43,17,1,gim lt gt minut ago
1,"Last Chance! Claim ur å£150 worth of discount vouchers today! Text SHOP to 85023 now! SavaMob, offers mobile! T Cs SavaMob POBOX84, M263UZ. å£3.00 Sub. 16",154,34,7,last chanc claim ur worth discount voucher today text shop 85023 savamob offer mobil cs savamob pobox84 m263uz sub 16
0,Appt is at &lt;TIME&gt; am. Not my fault u don't listen. I told u twice,71,24,3,appt lt time gt fault u listen told u twice
1,FREE for 1st week! No1 Nokia tone 4 ur mobile every week just txt NOKIA to 8077 Get txting and tell ur mates. www.getzed.co.uk POBox 36504 W45WQ 16+ norm150p/tone,162,31,3,free 1st week no1 nokia tone 4 ur mobil everi week txt nokia 8077 get txting tell ur mate pobox 36504 w45wq
1,You have won a guaranteed å£200 award or even å£1000 cashto claim UR award call free on 08000407165 (18+) 2 stop getstop on 88222 PHP. RG21 4JX,143,30,2,guarante award even cashto claim ur award call free 08000407165 2 stop getstop 88222 php rg21 4jx
0,K I'll be there before 4.,25,8,1,k 4
0,I dled 3d its very imp,22,6,1,dled 3d imp
0,"sure, but make sure he knows we ain't smokin yet",48,12,1,sure make sure know ai smokin yet
0,Boooo you always work. Just quit.,33,8,2,boooo alway work quit
0,I am taking half day leave bec i am not well,44,11,1,take half day leav bec well
0,Ugh I don't wanna get out of bed. It's so warm.,47,16,2,ugh wan na get bed warm
0,S:)s.nervous  &lt;#&gt; :),26,13,1,lt gt
0,So there's a ring that comes with the guys costumes. It's there so they can gift their future yowifes. Hint hint,112,25,3,ring come guy costum gift futur yowif hint hint
1,Congratulations ur awarded either å£500 of CD gift vouchers & Free entry 2 our å£100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,150,23,1,congratul ur award either cd gift voucher free entri 2 weekli draw txt music 87066 tnc
0,I borrow ur bag ok.,19,6,1,borrow ur bag ok
1,"U were outbid by simonwatson5120 on the Shinco DVD Plyr. 2 bid again, visit sms. ac/smsrewards 2 end bid notifications, reply END OUT",133,27,3,u outbid simonwatson5120 shinco dvd plyr 2 bid visit sm 2 end bid notif repli end
0,Where's my boytoy? I miss you ... What happened?,48,12,2,boytoy miss happen
0,"He has lots of used ones babe, but the model doesn't help. Youi have to bring it over and he'll match it up",107,27,2,lot use one babe model help youi bring match
0,Also are you bringing galileo or dobby,38,7,1,also bring galileo dobbi
0,Then why you not responding,27,5,1,respond
0,"\BOO BABE! U ENJOYIN YOURJOB? U SEEMED 2 B GETTIN ON WELL HUNNY!HOPE URE OK?TAKE CARE & IåÕLLSPEAK 2U SOONLOTS OF LOVEME XXXX.\""""",129,31,3,babe u enjoyin yourjob u seem 2 b gettin well hunni hope ure ok take care iåõllspeak 2u soonlot lovem
0,Good afternoon starshine! How's my boytoy? Does he crave me yet? Ache to fuck me ? *sips cappuccino* I miss you babe *teasing kiss*,131,32,5,good afternoon starshin boytoy crave yet ach fuck sip cappuccino miss babe teas kiss
0,On the road so cant txt,23,6,1,road cant txt
1,"SMSSERVICES. for yourinclusive text credits, pls goto www.comuk.net login= 3qxj9 unsubscribe with STOP, no extra charge. help 08702840625.COMUK. 220-CM2 9AE",156,25,4,smsservic yourinclus text credit pl goto 3qxj9 unsubscrib stop extra charg help 9ae
1,25p 4 alfie Moon's Children in need song on ur mob. Tell ur m8s. Txt Tone charity to 8007 for Nokias or Poly charity for polys: zed 08701417012 profit 2 charity.,161,36,3,25p 4 alfi moon children need song ur mob tell ur m8 txt tone chariti 8007 nokia poli chariti poli zed 08701417012 profit 2 chariti
0,Hmm .. Bits and pieces lol ... *sighs* ...,42,11,2,hmm bit piec lol sigh
0,Hahaha..use your brain dear,27,6,1,hahaha use brain dear
0,Hey. You got any mail?,22,7,2,hey got mail
0,"Sorry light turned green, I meant another friend wanted  &lt;#&gt;  worth but he may not be around",98,24,1,sorri light turn green meant anoth friend want lt gt worth may around
0,Thanks for yesterday sir. You have been wonderful. Hope you enjoyed the burial. MojiBiola,89,17,4,thank yesterday sir wonder hope enjoy burial mojibiola
1,U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901,147,32,6,u secret admir reveal think u r special call opt repli reveal stop per msg recd cust care 07821230901
0,Hi mate its RV did u hav a nice hol just a message 3 say hello coz havenåÕt sent u 1 in ages started driving so stay off roads!RVx,130,31,1,hi mate rv u hav nice hol messag 3 say hello coz havenåõt sent u 1 age start drive stay road rvx
1,"Dear Voucher Holder, To claim this weeks offer, at you PC please go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply. To stop texts, txt STOP to 80062",152,32,2,dear voucher holder claim week offer pc pleas go http ts cs appli stop text txt stop 80062
0,"Thank you so much. When we skyped wit kz and sura, we didnt get the pleasure of your company. Hope you are good. We've given you ultimatum oh! We are countin down to aburo. Enjoy! This is the message i sent days ago",215,51,7,thank much skype wit kz sura didnt get pleasur compani hope good given ultimatum oh countin aburo enjoy messag sent day ago
0,Surely result will offer:),26,6,1,sure result offer
0,Good Morning my Dear........... Have a great &amp; successful day.,66,14,1,good morn dear great amp success day
1,Do you want 750 anytime any network mins 150 text and a NEW VIDEO phone for only five pounds per week call 08002888812 or reply for delivery tomorrow,149,28,1,want 750 anytim network min 150 text new video phone five pound per week call 08002888812 repli deliveri tomorrow
0,"Sir, I have been late in paying rent for the past few months and had to pay a $ &lt;#&gt;  charge. I felt it would be inconsiderate of me to nag about something you give at great cost to yourself and that's why i didnt speak up. I however am in a recession and wont be able to pay the charge this month hence my askin well ahead of month's end. Can you please help. Thanks",372,89,5,sir late pay rent past month pay lt gt charg felt would inconsider nag someth give great cost didnt speak howev recess wont abl pay charg month henc askin well ahead month end pleas help thank
1,We tried to contact you re our offer of New Video Phone 750 anytime any network mins HALF PRICE Rental camcorder call 08000930705 or reply for delivery Wed,155,28,1,tri contact offer new video phone 750 anytim network min half price rental camcord call 08000930705 repli deliveri wed
1,Last chance 2 claim ur å£150 worth of discount vouchers-Text YES to 85023 now!SavaMob-member offers mobile T Cs 08717898035. å£3.00 Sub. 16 . Remove txt X or STOP,162,31,3,last chanc 2 claim ur worth discount ye 85023 offer mobil cs sub 16 remov txt x stop
0,I luv u soo much u donåÕt understand how special u r 2 me ring u 2morrow luv u xxx,82,20,1,luv u soo much u donåõt understand special u r 2 ring u 2morrow luv u xxx
0,"Pls send me a comprehensive mail about who i'm paying, when and how much.",73,17,1,pl send comprehens mail pay much
0,Our Prashanthettan's mother passed away last night. pray for her and family.,76,15,2,prashanthettan mother pass away last night pray famili
1,"Urgent! call 09066350750 from your landline. Your complimentary 4* Ibiza Holiday or 10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150 ppm 18+ ",153,31,3,urgent call 09066350750 landlin complimentari 4 ibiza holiday cash await collect sae cs po box 434 sk3 8wp 150 ppm
0,K.k:)when are you going?,24,8,1,go
0,Meanwhile in the shit suite: xavier decided to give us  &lt;#&gt;  seconds of warning that samantha was coming over and is playing jay's guitar to impress her or some shit. Also I don't think doug realizes I don't live here anymore,231,52,2,meanwhil shit suit xavier decid give us lt gt second warn samantha come play jay guitar impress shit also think doug realiz live anymor
0,My stomach has been thru so much trauma I swear I just can't eat. I better lose weight.,87,21,2,stomach thru much trauma swear ca eat better lose weight
0,I am in office:)whats the matter..msg me now.i will call you at break:).,72,21,1,offic what matter msg call break
0,"Yeah there's barely enough room for the two of us, x has too many fucking shoes. Sorry man, see you later",105,25,2,yeah bare enough room two us x mani fuck shoe sorri man see later
0,U reach orchard already? U wan 2 go buy tickets first?,54,13,2,u reach orchard alreadi u wan 2 go buy ticket first
0,"I am real, baby! I want to bring out your inner tigress...",58,15,2,real babi want bring inner tigress
0,No da if you run that it activate the full version da.,54,13,1,da run activ full version da
0,"\AH POOR BABY!HOPE URFEELING BETTERSN LUV! PROBTHAT OVERDOSE OF WORK HEY GO CAREFUL SPK 2 U SN LOTS OF LOVEJEN XXX.\""""",118,26,2,poor babi hope urfeel bettersn luv probthat overdos work hey go care spk 2 u sn lot lovejen
0,Stop the story. I've told him i've returned it and he's saying i should not re order it.,88,23,2,stop stori told return say order
1,Talk sexy!! Make new friends or fall in love in the worlds most discreet text dating service. Just text VIP to 83110 and see who you could meet.,144,32,3,talk sexi make new friend fall love world discreet text date servic text vip 83110 see could meet
0,Going to take your babe out ?,29,7,1,go take babe
0,Hai ana tomarrow am coming on morning.  &lt;DECIMAL&gt;  ill be there in sathy then we ll go to RTO office. Reply me after came to home.,136,35,3,hai ana tomarrow come morn lt decim gt ill sathi go rto offic repli came home
0,Spoons it is then okay?,23,6,1,spoon okay
0,Did he just say somebody is named tampa,39,8,1,say somebodi name tampa
0,In work now. Going have in few min.,35,10,2,work go min
0,Your brother is a genius,24,5,1,brother geniu
0,"Sorry, I guess whenever I can get a hold of my connections, maybe an hour or two? I'll text you",95,24,2,sorri guess whenev get hold connect mayb hour two text
0,Did u find out what time the bus is at coz i need to sort some stuff out.,73,19,1,u find time bu coz need sort stuff
0,Dude ive been seeing a lotta corvettes lately,45,8,1,dude ive see lotta corvett late
1,Congratulations ur awarded either a yrs supply of CDs from Virgin Records or a Mystery Gift GUARANTEED Call 09061104283 Ts&Cs www.smsco.net å£1.50pm approx 3mins,161,26,1,congratul ur award either yr suppli cd virgin record mysteri gift guarante call 09061104283 ts cs approx 3min
0,"Same here, but I consider walls and bunkers and shit important just because I never play on peaceful but I guess your place is high enough that it don't matter",159,32,1,consid wall bunker shit import never play peac guess place high enough matter
1,PRIVATE! Your 2003 Account Statement for 07808 XXXXXX shows 800 un-redeemed S. I. M. points. Call 08719899217 Identifier Code: 41685 Expires 07/11/04,149,25,3,privat 2003 account statement 07808 xxxxxx show 800 point call 08719899217 identifi code 41685 expir
1,Hello. We need some posh birds and chaps to user trial prods for champneys. Can i put you down? I need your address and dob asap. Ta r,134,32,5,hello need posh bird chap user trial prod champney put need address dob asap ta r
1,What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!,154,35,3,u want xma 100 free text messag new video phone half price line rental call free 0800 0721072 find
0,"Well am officially in a philosophical hole, so if u wanna call am at home ready to be saved!",92,22,1,well offici philosoph hole u wan na call home readi save
0,Its going good...no problem..but still need little experience to understand american customer voice...,102,18,1,go good problem still need littl experi understand american custom voic
0,I'll text you when I drop x off,31,9,1,text drop x
0,Ugh its been a long day. I'm exhausted. Just want to cuddle up and take a nap,77,20,3,ugh long day exhaust want cuddl take nap
0,Talk With Yourself Atleast Once In A Day...!!! Otherwise You Will Miss Your Best FRIEND In This WORLD...!!! -Shakespeare- SHESIL  &lt;#&gt;,139,35,3,talk atleast day otherwis miss best friend world shesil lt gt
1,"Shop till u Drop, IS IT YOU, either 10K, 5K, å£500 Cash or å£100 Travel voucher, Call now, 09064011000. NTT PO Box CR01327BT fixedline Cost 150ppm mobile vary",158,35,2,shop till u drop either 10k 5k cash travel voucher call ntt po box cr01327bt fixedlin cost 150ppm mobil vari
0,Are you in castor? You need to see something,44,10,2,castor need see someth
1,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country Liverpool played in mid week? Txt ansr to 82277. å£1.50 SP:Tyrone,137,30,3,sunshin quiz wkli q win top soni dvd player u know countri liverpool play mid week txt ansr sp tyron
1,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094565,132,26,1,u secret admir look 2 make contact r reveal think ur 09058094565
1,U have a Secret Admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09065171142-stopsms-08,143,26,1,u secret admir look 2 make contact r reveal think ur
1,Reminder: You have not downloaded the content you have already paid for. Goto http://doit. mymoby. tv/ to collect your content.,127,27,4,remind download content alreadi paid goto http mymobi collect content
0,"see, i knew giving you a break a few times woul lead to you always wanting to miss curfew. I was gonna gibe you 'til one, but a MIDNIGHT movie is not gonna get out til after 2. You need to come home. You need to getsleep and, if anything, you need to b studdying ear training.",276,67,4,see knew give break time woul lead alway want miss curfew gon na gibe one midnight movi gon na get til need come home need getsleep anyth need b studdi ear train
0,I love to give massages. I use lots of baby oil... What is your fave position?,78,19,2,love give massag use lot babi oil fave posit
0,Dude we should go sup again,27,6,1,dude go sup
0,Yoyyooo u know how to change permissions for a drive in mac. My usb flash drive,79,17,2,yoyyooo u know chang permiss drive mac usb flash drive
0,Gibbs unsold.mike hussey,24,3,1,gibb hussey
0,I like to talk pa but am not able to. I dont know y.,52,16,2,like talk pa abl dont know
0,Y dun cut too short leh. U dun like ah? She failed. She's quite sad.,68,20,4,dun cut short leh u dun like ah fail quit sad
0,You unbelievable faglord,24,3,1,unbeliev faglord
0,Wife.how she knew the time of murder exactly,44,8,1,knew time murder exactli
0,Why do you ask princess?,24,6,1,ask princess
0,I am great princess! What are you thinking about me? :),55,14,3,great princess think
0,Nutter. Cutter. Ctter. Cttergg. Cttargg. Ctargg. Ctagg. ie you,62,16,8,nutter cutter ctter cttergg cttargg ctargg ctagg ie
0,It's ok i noe u're busy but i'm really too bored so i msg u. I oso dunno wat colour she choose 4 me one.,104,29,1,ok noe u busi realli bore msg oso dunno wat colour choos 4 one
0,Doesn't g have class early tomorrow and thus shouldn't be trying to smoke at  &lt;#&gt;,87,23,1,g class earli tomorrow thu tri smoke lt gt
0,"Superb Thought- \Be grateful that u dont have everything u want. That means u still have an opportunity to be happier tomorrow than u are today.\"":-)""",150,32,2,superb grate u dont everyth u want mean u still opportun happier tomorrow u
0,Hope you are having a good week. Just checking in,49,11,2,hope good week check
0,"I'm used to it. I just hope my agents don't drop me since i've only booked a few things this year. This whole me in boston, them in nyc was an experiment.",154,39,3,use hope agent drop sinc book thing year whole boston nyc experi
0,"Thursday night? Yeah, sure thing, we'll work it out then",56,14,2,thursday night yeah sure thing work
0,Probably money worries. Things are coming due and i have several outstanding invoices for work i did two and three months ago.,126,24,2,probabl money worri thing come due sever outstand invoic work two three month ago
0,How is it possible to teach you. And where.,43,11,2,possibl teach
0,"I wonder if your phone battery went dead ? I had to tell you, I love you babe",77,19,2,wonder phone batteri went dead tell love babe
0,Lovely smell on this bus and it ain't tobacco... ,49,11,1,love smell bu ai tobacco
0,"We're all getting worried over here, derek and taylor have already assumed the worst",84,16,1,get worri derek taylor alreadi assum worst
0,Hey what's up charles sorry about the late reply.,49,11,1,hey charl sorri late repli
1,"all the lastest from Stereophonics, Marley, Dizzee Racal, Libertines and The Strokes! Win Nookii games with Flirt!! Click TheMob WAP Bookmark or text WAP to 82468",162,32,3,lastest stereophon marley dizze racal libertin stroke win nookii game flirt click themob wap bookmark text wap 82468
0,I.ll give her once i have it. Plus she said grinule greet you whenever we speak,79,17,2,give plu said grinul greet whenev speak
0,WHITE FUDGE OREOS ARE IN STORES,31,6,1,white fudg oreo store
1,"January Male Sale! Hot Gay chat now cheaper, call 08709222922. National rate from 1.5p/min cheap to 7.8p/min peak! To stop texts call 08712460324 (10p/min)",155,30,4,januari male sale hot gay chat cheaper call nation rate cheap peak stop text call 08712460324
0,My love ! How come it took you so long to leave for Zaher's? I got your words on ym and was happy to see them but was sad you had left. I miss you,146,38,4,love come took long leav zaher got word ym happi see sad left miss
0,I am sorry it hurt you.,23,7,1,sorri hurt
0,Can't. I feel nauseous. I'm so pissed. I didn't eat any sweets all week cause today I was planning to pig out. I was dieting all week. And now I'm not hungry :/,160,43,6,ca feel nauseou piss eat sweet week caus today plan pig diet week hungri
0,Ok lor but not too early. Me still having project meeting now.,62,14,2,ok lor earli still project meet
0,"Call me da, i am waiting for your call.",39,11,1,call da wait call
0,I could ask carlos if we could get more if anybody else can chip in,67,15,1,could ask carlo could get anybodi els chip
0,Was actually about to send you a reminder today. Have a wonderful weekend,73,14,2,actual send remind today wonder weekend
0,"When people see my msgs, They think Iam addicted to msging... They are wrong, Bcoz They don\'t know that Iam addicted to my sweet Friends..!! BSLVYL",148,32,3,peopl see msg think iam addict msging wrong bcoz know iam addict sweet friend bslvyl
0,Hey you gave them your photo when you registered for driving ah? Tmr wanna meet at yck? ,88,20,2,hey gave photo regist drive ah tmr wan na meet yck
0,Dont talk to him ever ok its my word.,37,10,1,dont talk ever ok word
0,When u wana see it then,23,6,1,u wana see
0,On ma way to school. Can you pls send me ashley's number,56,14,2,way school pl send ashley number
0,It shall be fine. I have avalarr now. Will hollalater,53,12,3,shall fine avalarr hollalat
0,She went to attend another two rounds today..but still did't reach home..,73,15,1,went attend anoth two round today still reach home
0,Actually i deleted my old website..now i m blogging at magicalsongs.blogspot.com,80,13,1,actual delet old websit blog
0,"K, wait chikku..il send aftr  &lt;#&gt; mins",44,16,1,k wait chikku il send aftr lt gt min
0,But I'm on a diet. And I ate 1 too many slices of pizza yesterday. Ugh I'm ALWAYS on a diet.,92,26,3,diet ate 1 mani slice pizza yesterday ugh alway diet
0,K:)i will give my kvb acc details:),35,12,1,k give kvb acc detail
0,Oh all have to come ah?,23,7,1,oh come ah
1,money!!! you r a lucky winner ! 2 claim your prize text money 2 88600 over å£1million to give away ! ppt150x3+normal text rate box403 w1t1jy,140,29,4,money r lucki winner 2 claim prize text money 2 88600 give away text rate box403 w1t1ji
0,I'm really sorry i won't b able 2 do this friday.hope u can find an alternative.hope yr term's going ok:-),106,26,1,realli sorri wo b abl 2 u find yr term go ok
0,Congratulations ore mo owo re wa. Enjoy it and i wish you many happy moments to and fro wherever you go,103,22,2,congratul ore mo owo wa enjoy wish mani happi moment fro wherev go
0,So do you have samus shoulders yet,34,7,1,samu shoulder yet
0,What time you think you'll have it? Need to know when I should be near campus,77,18,2,time think need know near campu
1,"Dear Matthew please call 09063440451 from a landline, your complimentary 4*Lux Tenerife holiday or å£1000 CASH await collection. ppm150 SAE T&Cs Box334 SK38XH.",159,30,2,dear matthew pleas call 09063440451 landlin complimentari 4 lux tenerif holiday cash await collect ppm150 sae cs box334 sk38xh
0,Then dun wear jeans lor...,26,6,1,dun wear jean lor
0,"Since when, which side, any fever, any vomitin.",47,12,1,sinc side fever vomitin
0,K:)k.are you in college?,24,8,1,k colleg
1,"Urgent! call 09061749602 from Landline. Your complimentary 4* Tenerife Holiday or å£10,000 cash await collection SAE T&Cs BOX 528 HP20 1YF 150ppm 18+",149,28,3,urgent call 09061749602 landlin complimentari 4 tenerif holiday cash await collect sae cs box 528 hp20 1yf 150ppm
0,Better. Made up for Friday and stuffed myself like a pig yesterday. Now I feel bleh. But at least its not writhing pain kind of bleh.,133,30,4,better made friday stuf like pig yesterday feel bleh least writh pain kind bleh
0,No we sell it all so we'll have tons if coins. Then sell our coins to someone thru paypal. Voila! Money back in life pockets:),126,31,4,sell ton coin sell coin someon thru paypal voila money back life pocket
0,Theyre doing it to lots of places. Only hospitals and medical places are safe.,78,16,2,theyr lot place hospit medic place safe
1,How about getting in touch with folks waiting for company? Just txt back your NAME and AGE to opt in! Enjoy the community (150p/SMS),132,28,3,get touch folk wait compani txt back name age opt enjoy commun
0,And also I've sorta blown him off a couple times recently so id rather not text him out of the blue looking for weed,116,25,1,also sorta blown coupl time recent id rather text blue look weed
0,"I sent my scores to sophas and i had to do secondary application for a few schools. I think if you are thinking of applying, do a research on cost also. Contact joke ogunrinde, her school is one me the less expensive ones",221,47,3,sent score sopha secondari applic school think think appli research cost also contact joke ogunrind school one less expens one
0,I cant wait to see you! How were the photos were useful? :),59,16,3,cant wait see photo use
1,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1,137,26,2,ur current 500 pound maxim ur send go 86688 cc 08718720201 po box
0,Hey i booked the kb on sat already... what other lessons are we going for ah? Keep your sat night free we need to meet and confirm our lodging ,143,31,2,hey book kb sat alreadi lesson go ah keep sat night free need meet confirm lodg
0,Chk in ur belovd ms dict,24,6,1,chk ur belovd ms dict
0,Is that what time you want me to come?,38,10,1,time want come
0,"Awesome, lemme know whenever you're around",42,9,1,awesom lem know whenev around
0,Shb b ok lor... Thanx...,24,7,1,shb b ok lor thanx
0,"Beautiful Truth against Gravity.. Read carefully: \Our heart feels light when someone is in it.. But it feels very heavy when someone leaves it..\"" GOOD NIGHT""",159,33,2,beauti truth graviti read care heart feel light someon feel heavi someon leav good night
0,Also remember to get dobby's bowl from your car,47,10,1,also rememb get dobbi bowl car
1,Filthy stories and GIRLS waiting for your,41,7,1,filthi stori girl wait
0,Sorry i now then c ur msg... Yar lor so poor thing... But only 4 one night... Tmr u'll have a brand new room 2 sleep in...,122,32,2,sorri c ur msg yar lor poor thing 4 one night tmr u brand new room 2 sleep
0,"Love isn't a decision, it's a feeling. If we could decide who to love, then, life would be much simpler, but then less magical",126,31,2,love decis feel could decid love life would much simpler less magic
0,Welp apparently he retired,26,4,1,welp appar retir
0,My sort code is  and acc no is . The bank is natwest. Can you reply to confirm i've sent this to the right person!,114,28,3,sort code acc bank natwest repli confirm sent right person
0,Where @,7,2,1,
0,U sure u can't take any sick time?,34,10,1,u sure u ca take sick time
1,URGENT! We are trying to contact U. Todays draw shows that you have won a å£800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only,157,31,5,urgent tri contact today draw show prize guarante call 09050001808 land line claim m95 valid12hr
0,Yo chad which gymnastics class do you wanna take? The site says Christians class is full..,90,19,2,yo chad gymnast class wan na take site say christian class full
0,Or better still can you catch her and let ask her if she can sell  &lt;#&gt;  for me.,85,25,1,better still catch let ask sell lt gt
0,I am not sure about night menu. . . I know only about noon menu,63,16,4,sure night menu know noon menu
0,What do u want when i come back?.a beautiful necklace as a token of my heart for you.thats what i will give but ONLY to MY WIFE OF MY LIKING.BE THAT AND SEE..NO ONE can give you that.dont call me.i will wait till i come.,220,50,1,u want come back beauti necklac token heart give wife see one give call wait till come
0,Are you willing to go for aptitude class.,41,9,1,will go aptitud class
0,"It wont b until 2.15 as trying 2 sort house out, is that ok?",60,16,1,wont b tri 2 sort hous ok
0,"Yar lor he wan 2 go c horse racing today mah, so eat earlier lor. I ate chicken rice. U?",88,24,3,yar lor wan 2 go c hors race today mah eat earlier lor ate chicken rice u
0,"Haha awesome, omw back now then",31,7,1,haha awesom omw back
0,Yup i thk so until e shop closes lor.,37,10,1,yup thk e shop close lor
0,what is your account number?,28,6,1,account number
0,Eh u send wrongly lar...,24,6,1,eh u send wrongli lar
0,Hey no I ad a crap nite was borin without ya 2 boggy with me u boring biatch! Thanx but u wait til nxt time il ave ya ,118,29,2,hey ad crap nite borin without ya 2 boggi u bore biatch thanx u wait til nxt time il ave ya
0,Ok i shall talk to him,22,6,1,ok shall talk
0,Dont hesitate. You know this is the second time she has had weakness like that. So keep i notebook of what she eat and did the day before or if anything changed the day before so that we can be sure its nothing,210,45,3,dont hesit know second time weak like keep notebook eat day anyth chang day sure noth
0,Hey you can pay. With salary de. Only  &lt;#&gt; .,50,18,3,hey pay salari de lt gt
0,Another month. I need chocolate weed and alcohol.,49,10,2,anoth month need chocol weed alcohol
0,If he started searching he will get job in few days.he have great potential and talent.,87,17,1,start search get job great potenti talent
0,Reckon need to be in town by eightish to walk from * carpark.,61,14,1,reckon need town eightish walk carpark
1,"Congrats! 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid your mates, play java games, Dload polyPH music, noline rentl.",141,29,4,congrat 2 mobil 3g videophon r call 09063458130 videochat wid mate play java game dload polyph music nolin rentl
0,LOOK AT THE FUCKIN TIME. WHAT THE FUCK YOU THINK IS UP,54,13,2,look fuckin time fuck think
0,Yo guess what I just dropped,28,6,1,yo guess drop
0,Carlos says he'll be at mu in  &lt;#&gt;  minutes,49,16,1,carlo say mu lt gt minut
0,I'm in office now . I will call you  &lt;#&gt;  min:),53,20,2,offic call lt gt min
0,"Geeee ... I miss you already, you know ? Your all I can think about. Fuck, I can't wait till next year when we will be together ... *loving kiss*",145,36,4,geeee miss alreadi know think fuck ca wait till next year togeth love kiss
0,"Yun ah.the ubi one say if Ì_ wan call by tomorrow.call 67441233 look for irene.ere only got bus8,22,65,61,66,382. Ubi cres,ubi tech park.6ph for 1st 5wkg days.Ì¬n",162,29,2,yun ubi one say wan call 67441233 look got ubi cre ubi tech 1st 5wkg
0,Ugh. Gotta drive back to sd from la. My butt is sore.,53,16,3,ugh got ta drive back sd la butt sore
0,26th OF JULY,12,3,1,26th juli
0,Hi im having the most relaxing time ever! we have to get up at 7am every day! was the party good the other night? I get home tomorrow at 5ish.,142,34,4,hi im relax time ever get 7am everi day parti good night get home tomorrow 5ish
0,Up to Ì_... ÌÏ wan come then come lor... But i din c any stripes skirt...,73,19,2,ìï wan come come lor din c stripe skirt
0,The Xmas story is peace.. The Xmas msg is love.. The Xmas miracle is jesus.. Hav a blessed month ahead &amp; wish U Merry Xmas...,129,31,3,xma stori peac xma msg love xma miracl jesu hav bless month ahead amp wish u merri xma
0,"I can't, I don't have her number!",33,11,1,ca number
0,Change again... It's e one next to escalator...,47,11,2,chang e one next escal
0,Yetunde i'm in class can you not run water on it to make it ok. Pls now.,72,19,1,yetund class run water make pl
0,Not a lot has happened here. Feels very quiet. Beth is at her aunts and charlie is working lots. Just me and helen in at the mo. How have you been? ,148,36,5,lot happen feel quiet beth aunt charli work lot helen mo
0,Then Ì_ wait 4 me at bus stop aft ur lect lar. If i dun c Ì_ then i go get my car then come back n pick Ì_.,107,31,2,wait 4 bu stop aft ur lect lar dun c go get car come back n pick
0,"Aight will do, thanks again for comin out",41,9,1,aight thank comin
0,No..but heard abt tat..,23,7,1,heard abt tat
